channel_id;video_id;title;duration;view_count;t_step;datapoint_0;datapoint_1;datapoint_2;datapoint_3;datapoint_4;datapoint_5;datapoint_6;datapoint_7;datapoint_8;datapoint_9;datapoint_10;datapoint_11;datapoint_12;datapoint_13;datapoint_14;datapoint_15;datapoint_16;datapoint_17;datapoint_18;datapoint_19;datapoint_20;datapoint_21;datapoint_22;datapoint_23;datapoint_24;datapoint_25;datapoint_26;datapoint_27;datapoint_28;datapoint_29;datapoint_30;datapoint_31;datapoint_32;datapoint_33;datapoint_34;datapoint_35;datapoint_36;datapoint_37;datapoint_38;datapoint_39;datapoint_40;datapoint_41;datapoint_42;datapoint_43;datapoint_44;datapoint_45;datapoint_46;datapoint_47;datapoint_48;datapoint_49;datapoint_50;datapoint_51;datapoint_52;datapoint_53;datapoint_54;datapoint_55;datapoint_56;datapoint_57;datapoint_58;datapoint_59;datapoint_60;datapoint_61;datapoint_62;datapoint_63;datapoint_64;datapoint_65;datapoint_66;datapoint_67;datapoint_68;datapoint_69;datapoint_70;datapoint_71;datapoint_72;datapoint_73;datapoint_74;datapoint_75;datapoint_76;datapoint_77;datapoint_78;datapoint_79;datapoint_80;datapoint_81;datapoint_82;datapoint_83;datapoint_84;datapoint_85;datapoint_86;datapoint_87;datapoint_88;datapoint_89;datapoint_90;datapoint_91;datapoint_92;datapoint_93;datapoint_94;datapoint_95;datapoint_96;datapoint_97;datapoint_98;datapoint_99
UCEickjZj99-JJIU8_IJ7J-Q;p20FKBmyBDw;Ikson - Sunkissed (Vlog No Copyright Music);163.0;104809;1630.0;0.0;0.0011522076495768;0.0181527473546084;0.0278842043654921;0.0374013758328892;0.0454022040276314;0.0446875062856577;0.0460260929167547;0.050755101773853;0.0531810878467344;0.0579343602216715;0.0629537436076179;0.0689421064024883;0.065411265220786;0.0711018126746709;0.0765844674945519;0.0845540273993489;0.0944050015760737;0.1018360801745398;0.1003184780121188;0.1051398710925011;0.1113575487461106;0.1106194173689372;0.1163352410787968;0.1236473088804897;0.1299885968499061;0.1262382587430597;0.1334190503638894;0.1431705792819939;0.1451163305571649;0.1527665403697816;0.1599767295281667;0.159544937371289;0.167398890404714;0.1770270481257382;0.1805400116661807;0.18655010613355;0.1938779417053863;0.1998337984192564;0.1991105908637798;0.20886747885452;0.2155720584985679;0.2193034921602112;0.2248832010514472;0.2320872575177872;0.2346575025118015;0.2424305771524307;0.2528723293075586;0.2581048940711074;0.2642741009522692;0.2725313488166928;0.2766413496198504;0.2756148551242932;0.2869571846667508;0.2957932967706734;0.3067561870915553;0.3175138291502325;0.3243147877068781;0.3290877381464276;0.3393789017670733;0.3475869193054473;0.3546349297040174;0.365154381379459;0.3685032532102744;0.3663872494018164;0.3799464345920965;0.3865332834278485;0.4024380826672822;0.4478486417845346;0.4628786884591034;0.4823813805843189;0.5199423189368387;0.5399322506318712;0.5620276649113946;0.6064822554916077;0.77716542753936;0.835747096219547;0.879458955903553;0.9449315761764044;0.9524483436738116;0.93799882100402;1.0;0.9805534023148662;0.92629348110308;0.9053016700755152;0.9085554851796324;0.9095598963575044;0.8973328837901274;0.8554679771498145;0.7915788292156385;0.6378941854624535;0.5999077283031755;0.5839315028935476;0.5848780192079853;0.5884702576391752;0.596116149248907;0.6152121144861078;0.6515135441769737;0.7131334835280252;0.7633552239494565
UCEickjZj99-JJIU8_IJ7J-Q;w6P0hVXAWgQ;Markvard - Be With Me (Vlog No Copyright Music);160.0;137766;1600.0;0.0;0.041728265884174;0.1438956744273745;0.2064080083109315;0.2564778252339794;0.2911062425895976;0.2735344416235735;0.2808107553369181;0.3131386790734852;0.3343000705128214;0.3364470269681874;0.3504276991591643;0.3597148662505243;0.3331564530512508;0.3627698602445548;0.3872575728030597;0.3991764811538259;0.4116608985235087;0.4238501084649228;0.4536084822836719;0.4626098915145665;0.4956709991592082;0.5182782477248884;0.5418814367855412;0.5378704981416582;0.5417102457781309;0.5342517531878374;0.5403015276508272;0.5499077824735863;0.5666463366662716;0.5876462796758549;0.6071025735202014;0.6224840525724141;0.630279286737832;0.6511490601196154;0.6722377118626065;0.6834097380946067;0.6998230513489514;0.7116093727406193;0.7140412080268878;0.7203989358468109;0.7239557824688981;0.730576706390501;0.7419504699072287;0.750537709708984;0.7533211568204856;0.7503137036753251;0.7523448479857551;0.7525038058317458;0.7540393239735242;0.7612233395827451;0.7657904841826688;0.7690097834525322;0.7716215267893782;0.7812373776848676;0.7859000434973129;0.7900076021406713;0.7959829521006536;0.8038895300107286;0.807999432732922;0.8113715366418346;0.8221208961589191;0.8307764072567406;0.8392770626465323;0.8443603441049128;0.8506446729563185;0.860555291765295;0.8745695135845961;0.8854435487947113;0.8979622483173543;0.9092936719101268;0.9163111114171436;0.9216452093108568;0.9288416778388884;0.9291932896641212;0.9334557040155096;0.9380067330734434;0.9455422140029702;0.94940965107068;0.9518016370167554;0.9611940678982944;0.9695455812722166;0.9783827584797418;0.9947538050625948;1.0;0.9953232697145454;0.9955313067111417;0.9981240044074542;0.9897856764769783;0.9753105501567676;0.9602447159701653;0.945225470350406;0.9361160869881796;0.9252461539160254;0.9042839359251912;0.8768719850201642;0.8560729735182089;0.834591542065447;0.8101854327513816;0.7942140516098767
UCEickjZj99-JJIU8_IJ7J-Q;0L7eP5_6zvw;Peyruis - Vogue (Vlog No Copyright Music);183.0;104691;1830.0;0.0487523790874309;0.0;0.0808648780435013;0.124391823814227;0.151645957894466;0.1652108485910405;0.1875139828709108;0.2350091542499453;0.2643915093591562;0.2790044815292699;0.3022786489839459;0.3049270821571046;0.3352615146538445;0.3909049520071456;0.4269510320626422;0.4658065163394462;0.4930676609981035;0.5026829075223711;0.5242692952388031;0.5152228584605736;0.5425836486221866;0.542630884946675;0.5444501640781637;0.5367005481795876;0.5329127939176493;0.5525316593977859;0.5650898514526497;0.5711664574723679;0.5862078236285488;0.5940381632747378;0.6054965793482109;0.6292991946751185;0.6281592610115257;0.6432326171857319;0.64931398767622;0.6580725142922212;0.6700572001941454;0.6885502212313938;0.6962231972144454;0.7171840779826795;0.7222301970387726;0.7281407952840996;0.7419585092188766;0.7600841214959104;0.7686159273671406;0.7557364057907923;0.7513226681335792;0.7647147787008827;0.7861939658249957;0.7987949019890508;0.8116864708700597;0.8039977721334681;0.8228338350661373;0.8234421899195642;0.8244141419565898;0.8438265016607924;0.8417500091716063;0.849434828267714;0.8981912911872333;0.9135759034304394;0.9286836318580558;0.9929600179906416;0.99299445830792;0.9914487278624822;1.0;0.9736600997966048;0.9476978179336448;0.9625145052610988;0.9396880619310414;0.9282681700069352;0.912988784503872;0.8703007599398942;0.8436024354068786;0.8141827812979276;0.809684576380354;0.800154273563524;0.8054066261400783;0.8069607965051654;0.8080933792709992;0.8009132537571425;0.8008509072539272;0.8002508561924133;0.7928203917715412;0.796251559428299;0.7870481673701408;0.7809314036682204;0.7711975898856548;0.7643048300230811;0.7396197666457507;0.7310467821342964;0.7113910260376286;0.6974141787791425;0.6856504962570658;0.6771568742158617;0.6704313472773057;0.6524234174282844;0.6413699133063705;0.6269895834375562;0.6050040691983567;0.5842845429065436
UCEickjZj99-JJIU8_IJ7J-Q;8cFa1W_tGqI;Ikson - Calling (Vlog No Copyright Music);180.0;106563;1810.0;0.0;0.0092227149726866;0.120180336002348;0.1636179474957245;0.2032138376348643;0.2194641799903316;0.2312142453541072;0.2566472745568757;0.2892660862784222;0.3190844951154187;0.3383391978451754;0.3274315826117627;0.3207102829367001;0.3211459925069111;0.3303858344281123;0.3443986143613574;0.3800384240643217;0.3808092346157552;0.414217843334517;0.4500462452076963;0.4637167797754813;0.4961091243035265;0.4902075693185104;0.4785852220565149;0.4925073759650485;0.5292207028009069;0.5482158588594598;0.5742072265838035;0.6084102321088103;0.6043874544417053;0.6397812232957231;0.6497355036406754;0.6367443706533945;0.659060295226509;0.6770590543546221;0.6700247719289901;0.6690158478590654;0.6876420405124755;0.697473887642618;0.7055499778793226;0.707759452105981;0.7088716272083794;0.7308854324096966;0.7388985933441449;0.754999588708565;0.7731489671153291;0.7929741440330372;0.7996408332094076;0.8184827275458243;0.81501456940576;0.8099154364257213;0.8178693870524477;0.8387112196339814;0.8408682364640465;0.8534513566035715;0.8613413013769919;0.8840723831820999;0.9046148367035988;0.9064850016131138;0.9115603526017866;0.9232773384878598;0.9355509012665184;0.935827672754514;0.9437907251310224;0.9611524596426702;0.9689379789642903;0.9812901299695616;0.9843990136639283;0.9869939910345809;0.9884749338055674;0.9823637449707328;0.9929926313506052;0.9913091991140376;1.0;0.9939496852336;0.9897260818616268;0.9852096566041928;0.9818332010398896;0.9765971503400116;0.9684223110115856;0.9607567781978448;0.9609084740275452;0.961568595557436;0.945984736169879;0.9454810081469958;0.9361824452594588;0.9270424289810284;0.8985403484727239;0.846890658771437;0.8331941891101871;0.8144093519793932;0.7787121914659743;0.7621086424979977;0.7485137601085086;0.7353386347600424;0.7135379866665238;0.6733566974271555;0.6343672480678477;0.6071576160285924;0.5878367543434309
UCEickjZj99-JJIU8_IJ7J-Q;fvYliaGMx1g;NOWË - Feeling Saxy (Vlog No Copyright Music);164.0;97364;1640.0;0.0893943945373763;0.0;0.06573808194814;0.1087648969736704;0.1378897455699802;0.1665833519536987;0.1750435867245243;0.1892476471408849;0.2176728252864017;0.238015338051091;0.2533172225090223;0.2673578918238689;0.2662568615204946;0.2655468027814577;0.2824540625244778;0.3120573495071286;0.3130662318462659;0.3413783572005859;0.3706429988115349;0.3685517466127206;0.3876086766446175;0.405373996171531;0.4283498758807962;0.4664160908941876;0.503591285752344;0.533206051152252;0.5435140546005224;0.59200215948145;0.6219782705866296;0.6417555193953349;0.6759653068365293;0.7111260715286869;0.6819679419348552;0.665560089530372;0.7009683776337717;0.7214068858768624;0.7405394195620894;0.7751925688854928;0.792060455733564;0.7866449512967228;0.8129492513843597;0.8257596780451447;0.8401651558280109;0.8397301302264913;0.8403883116495451;0.8349484396229961;0.8436598529435199;0.8717653026619764;0.8971463276006334;0.9007938992789406;0.9033018372617576;0.9043928640283044;0.8933342105665628;0.89370216117115;0.8972541862477083;0.8743496779261924;0.8520667996431687;0.853543603829931;0.8571632169053104;0.8579097629036728;0.8618464111461972;0.8743010709972491;0.883304254141905;0.8834708515052229;0.8999357753698111;0.8913299121878636;0.9065349034140884;0.91900867258549;0.9186248189223568;0.9254617233419932;0.9327314731051224;0.948737645030844;0.958628193192279;0.9530787952625174;0.9751608333061602;0.981165135660624;0.9735966905478664;0.985734956484134;0.9855938809647732;0.9816709555227684;0.9740834010896608;0.978899334569219;0.9691234423298828;0.978654504417892;0.9730439310129168;0.9782087057767124;0.9818085682793812;0.985014317081145;0.9954271011651588;0.9990932691619272;1.0;0.9965469842879384;0.9952312626941916;0.996175186169187;0.9822910465555948;0.9592141695995144;0.9445341075557836;0.897608542302248;0.8511337774583059;0.8326412136290879
UCEickjZj99-JJIU8_IJ7J-Q;iV1ca6K9VBM;SKANDR - Blue Lemonade (Vlog No Copyright Music);207.0;1165465;2080.0;0.0727021541878933;0.0;0.0945510214796262;0.1471065062270218;0.1879563725878945;0.2058634344201342;0.2583326492422873;0.2987928599051828;0.3256633477563262;0.36413464275965;0.3508055550338477;0.384406442019333;0.4284297543050782;0.4465878443273609;0.4625195362232573;0.4619284239181158;0.4896975408123754;0.5854551403834083;0.6336613912159059;0.6836142717932073;0.7793776355017843;0.875853734817682;0.9426760364003364;0.9876284315892222;1.0;0.9647290502300876;0.9403350280057828;0.8877315087788535;0.9137959780634216;0.9176675571138369;0.9315466396302996;0.9298346907797193;0.9092157943709258;0.9012174771148128;0.8668234448032673;0.8571467067632883;0.8379197535024221;0.8276532481227284;0.8359313181876457;0.8271134366417289;0.8123143977732368;0.8069808413037346;0.7686688286345446;0.7536389360574135;0.7149696429294519;0.6770452685100987;0.6753549351753083;0.656336067279782;0.6578385857995956;0.650771945308518;0.6396828014323306;0.6353438468960527;0.6249676307651042;0.6235382207231408;0.6184897969241505;0.6125300629794471;0.6200643671632647;0.6213819529368737;0.63202312725693;0.6392416527722932;0.6396312124013114;0.6489025394340261;0.6508576388200061;0.6541051539123195;0.663488977696102;0.658151386330319;0.6751946921515839;0.6804625374530842;0.6752324472524974;0.7069537450538296;0.694194634462174;0.7171947921593703;0.7241434599687132;0.7289569951627838;0.7504464684786457;0.740128374067933;0.7419082436725741;0.7300777356392637;0.7197292834374857;0.7265777513225213;0.7238402663338966;0.7195720185514924;0.7294674095423087;0.7119429903740344;0.7072914274449514;0.6883824624385981;0.6708720693383476;0.6641161158608939;0.6438920628738674;0.6348759910653947;0.6189421856523988;0.6097651983374882;0.6004934870289372;0.5719041333621604;0.5369178359179646;0.4892650383586541;0.4263415994107898;0.352336125689709;0.2593430064847988;0.3197741284275783
UCEickjZj99-JJIU8_IJ7J-Q;e4EqtF8FU_4;Nekzlo - Stories (Vlog No Copyright Music);171.0;144813;1710.0;0.0;0.0339602465172524;0.0996658960923143;0.139665498962538;0.1638324301403439;0.1896557410297717;0.1806050900577583;0.1909669030090528;0.2110215342300914;0.2212345291349217;0.238520236362982;0.2589854638619693;0.2546590729327513;0.2731770442829538;0.2909047696263107;0.3117696617724382;0.3340430443789092;0.3583924862623859;0.3537158078590028;0.3597669672046586;0.3820487993808366;0.3993424280804972;0.4165394148266342;0.430132818522175;0.4301063079972193;0.4440369023338794;0.464609650607388;0.4809080256151874;0.4844242612389377;0.5062289567757244;0.5237306033196089;0.528827066907997;0.5441069519072408;0.5595954884684365;0.5878823770255566;0.6021669027133179;0.6111944757980691;0.587599422059994;0.594652225084602;0.6168396861291151;0.6237562926520086;0.6334641089079827;0.6409427174360118;0.6457508394581492;0.6552836440015672;0.6715010087598009;0.6822024944133162;0.6848372814871961;0.6888838860394916;0.6987566801439944;0.7167368363823473;0.7301378539376223;0.7476063887302175;0.7684375354073277;0.7814649763619327;0.7941735516797204;0.8190059920915724;0.8309189348018263;0.8411559053607001;0.8704598580614876;0.8753653613744978;0.8808543074757753;0.9471180511299834;0.951317804133218;0.9566586715253804;0.9943022439073388;0.9971919967471268;1.0;0.9950804492773518;0.9870575828405715;0.9633693197866664;0.9643783040293016;0.9567769655012782;0.9449943574037546;0.9491193317150824;0.9493859156393376;0.9450079823349072;0.949226958109225;0.9521833569300768;0.9560082658971856;0.9563652602173056;0.9594172447954676;0.9568660028420656;0.9619996445371644;0.9684359986418372;0.9694585021960036;0.9692506427812118;0.9718076938137876;0.9774678493212526;0.9794959572901712;0.984255388666872;0.9803411255001122;0.9800364128925542;0.9783240019718128;0.9762542798720872;0.97374528576722;0.970577542084072;0.9694599808707024;0.9632499696145552;0.9678612166625198
UCEickjZj99-JJIU8_IJ7J-Q;KlqUw4roFlM;x50 - Home (Vlog No Copyright Music);171.0;86300;1710.0;0.0;0.0159139145046117;0.079757217758564;0.1141202556143069;0.1202999754435287;0.1309029622673588;0.1379993937615468;0.1514768581490523;0.1675952243913477;0.1722816290204971;0.1841401217757907;0.2056465321790046;0.2532473638472138;0.2777903314583469;0.3002901320522095;0.4084939697047561;0.5186995146862461;0.5826921056647603;0.507309998158949;0.3332583214676569;0.2626240052069865;0.2580968335181288;0.2693658395781229;0.277123180839843;0.3110340307216655;0.3406318686427147;0.370956236507011;0.4176031303816505;0.4446382778141817;0.459928727657092;0.4724683125810135;0.4631471819483057;0.4792776284342951;0.4893192671365054;0.4975295992886451;0.507206202953313;0.5232302265069415;0.5288037078829922;0.5450293364703525;0.5631601399257182;0.5704952201012189;0.516467698787846;0.4902872924650173;0.4600317199462286;0.4526773697747449;0.4163629893522871;0.41852633837102;0.4260567462330762;0.4283945471093829;0.4548829813983042;0.4624711262559005;0.4693286900915487;0.4737318111812655;0.487146283119781;0.4820272524823304;0.4696785427080136;0.4677015433095258;0.4672632238933206;0.4613314227813578;0.4714094117032634;0.4737508622000215;0.481087913170566;0.5058354785042009;0.5249578108437851;0.5477493985927319;0.5790738719493074;0.5891091603119323;0.6172803615985549;0.6579770602741569;0.6839193653587406;0.7097456855053809;0.843684785274307;0.8832485687694058;0.931114946821654;0.9940635273738596;1.0;0.9968290637670628;0.9578615552613028;0.8921538616478887;0.8398222459658419;0.78389655705573;0.773664262181142;0.7567495852525699;0.7465702098745263;0.7539963845764923;0.7392537427633272;0.7268158362651799;0.7224134450995533;0.6925588928759573;0.6637081322612962;0.6391315881420109;0.5796948183728974;0.5418616119034123;0.5262587545498678;0.508106053371794;0.4804477697434019;0.4337381753894085;0.3842174973789795;0.3535332039457725;0.317204480514941
UCEickjZj99-JJIU8_IJ7J-Q;jiDsR8eCi5k;Ikson - Perfect (Vlog No Copyright Music);195.0;156264;1960.0;0.0;0.0263712572436199;0.1321424032708247;0.2233754627798767;0.2782455872170511;0.2888680664101681;0.3163555258128492;0.3592569963000869;0.3837262874475923;0.4139986151895883;0.3962193008871793;0.4116234269296071;0.4341102179613024;0.4531508119528379;0.4803845552742159;0.5105402007542222;0.4925498763368308;0.5062830426107986;0.5280761362742863;0.5530909137661875;0.5828383651535854;0.5724000837062783;0.5956046709343775;0.6194251673560245;0.6334816972630256;0.6435203774974834;0.6639568944970746;0.6524554864600443;0.6725327177127227;0.6821732827210562;0.7020024187987399;0.7239895952501662;0.7184804609866784;0.7324299998494631;0.7526183570659412;0.7594847786826289;0.7722970854437844;0.7876460361530233;0.786340047645903;0.807809196203291;0.8110056182573756;0.8137752390807272;0.8238033235837529;0.8224142490362568;0.8307202687490983;0.8451360197948937;0.8469036979167306;0.8567661272039525;0.8555682926871815;0.8638483399363908;0.8700154432785623;0.8821149932765562;0.8910734257698913;0.8962316087337513;0.898804174795714;0.905159287762686;0.9165242434534692;0.9206357748978208;0.9280029094327916;0.9344790980138108;0.9417991978385224;0.9497922558254072;0.960190027982422;0.9656035422305476;0.9682891724998643;0.971622951413855;0.9757595508081798;0.9754810898174956;0.9715631242961348;0.977458744324419;0.9864542618777664;0.9908624738022156;0.9938920776943636;0.990958093817578;0.9924873679821936;0.9937003207986908;0.9935543064509076;1.0;0.9976381856205458;0.9972328342851507;0.995886401095857;0.9938308291980368;0.9906997905598623;0.987835583451044;0.9864639530955396;0.9856243059876671;0.9919296707034034;0.9888769371048366;0.990810528874951;0.9863784119466612;0.981572601661036;0.9726646927163586;0.9757959897870072;0.9678710287570088;0.9691131844430628;0.9619013678249372;0.9635950050429868;0.9578103817622652;0.9376539409563204;0.9271819986792807
UCEickjZj99-JJIU8_IJ7J-Q;f7MZimRLUpc;NOWË - Heartbeat (Vlog No Copyright Music);148.0;112043;1490.0;0.0;0.0103899258032668;0.1039886936271248;0.1712485449980198;0.2042824119012534;0.2318242237110898;0.2525363291936792;0.2588835117448483;0.2785152941560801;0.3003900623665997;0.3180488393321678;0.3294709563262428;0.360486899158154;0.3832594373965566;0.3724592860522512;0.40265919602756;0.4216084295457716;0.421014579876295;0.4339498052098108;0.4600218876212301;0.4746077218263819;0.462703081056229;0.4681156080910829;0.4971707960116009;0.5147191842831135;0.5260175240210886;0.5438530969484522;0.5380595983806267;0.5290895295821617;0.5507182160223064;0.5737873778528013;0.5930774841606616;0.5970210851108212;0.613528646569007;0.6241503953240715;0.6181661766899244;0.627234584476605;0.6439494678180473;0.6559887305795561;0.6485236030976849;0.6645410092994274;0.6709601553715848;0.6691399803616572;0.673715387554689;0.6799781552221684;0.6911341745456123;0.6907540732691736;0.6979164184204121;0.7013515217841276;0.707498880046785;0.6998324555345772;0.7044211174040328;0.7140710573831092;0.7241897309193578;0.7293577158684719;0.7367867611756336;0.7440073465717649;0.7449647626435555;0.7461424205609754;0.7566614121023497;0.7680245524806194;0.77554986154888;0.7852783923871565;0.7980825436982583;0.8115948160558849;0.8142481612818316;0.8165327855090773;0.8249733366786887;0.8353157330866982;0.8416663297211886;0.856053946265274;0.8742065603418475;0.9006564679741579;0.940630965441176;0.9711148468174452;0.994785824511833;1.0;0.9924542064318116;0.9864349767079186;0.970507541643114;0.966383195105356;0.9506012937099731;0.9552050846545388;0.9395355132947082;0.9298775401784052;0.9298483531131486;0.921434579067626;0.918867857838106;0.907954573144526;0.9022882659161218;0.8758371533132273;0.8517643848718889;0.8411016001741585;0.828468153029122;0.7956320351872832;0.7837237125625681;0.7665542205969103;0.7500746412333972;0.7185103029001499;0.695936651750916
